,state,month,year,n
265,AZ,2,2018,5
266,AZ,3,2019,5
267,AZ,3,2020,5
268,AZ,5,2016,5
269,AZ,5,2017,5
270,AZ,5,2018,5
271,AZ,8,2018,5
272,AZ,9,2016,5
273,AZ,10,2020,5
274,AZ,11,2016,5
275,AZ,11,2020,5
276,AZ,12,2018,5
277,AZ,12,2019,5
278,CO,2,2018,5
279,CO,4,2018,5
280,CO,5,2021,5
281,CO,7,2018,5
282,CO,10,2017,5
283,CO,11,2018,5
284,CO,11,2019,5
285,CO,12,2017,5
286,CO,12,2021,5
287,FL,2,2021,5
288,FL,5,2015,5
289,FL,6,2015,5
290,FL,7,2017,5
291,FL,7,2018,5
292,FL,8,2021,5
293,FL,9,2016,5
294,FL,11,2016,5
295,GA,1,2017,5
296,GA,1,2018,5
297,GA,1,2020,5
298,GA,3,2019,5
299,GA,3,2021,5
300,GA,3,2022,5
301,GA,5,2021,5
302,GA,6,2016,5
303,GA,6,2022,5
304,GA,7,2015,5
305,GA,7,2022,5
306,GA,8,2021,5
307,GA,9,2021,5
308,GA,11,2015,5
309,IL,3,2021,5
310,IL,7,2018,5
311,KY,3,2020,5
312,KY,4,2018,5
313,LA,4,2018,5
314,LA,9,2015,5
315,LA,12,2015,5
316,MN,2,2021,5
317,MN,11,2018,5
318,MO,1,2017,5
319,MO,2,2017,5
320,MO,3,2021,5
321,MO,7,2017,5
322,MO,12,2019,5
323,NC,2,2021,5
324,NC,3,2018,5
325,NC,7,2018,5
326,NC,8,2015,5
327,NC,8,2020,5
328,NC,8,2022,5
329,NC,11,2019,5
330,NC,11,2021,5
331,NJ,6,2018,5
332,NM,2,2022,5
333,NM,4,2022,5
334,NM,7,2017,5
335,NM,11,2017,5
336,NY,6,2015,5
337,OH,2,2016,5
338,OH,6,2022,5
339,OH,7,2017,5
340,OH,7,2022,5
341,OH,8,2018,5
342,OH,10,2015,5
343,OK,1,2018,5
344,OK,10,2016,5
345,PA,8,2021,5
346,PA,10,2017,5
347,TN,2,2019,5
348,TN,4,2022,5
349,TN,6,2019,5
350,TN,9,2019,5
351,TN,10,2018,5
352,TN,12,2021,5
353,TX,1,2020,5
354,TX,2,2020,5
355,TX,6,2018,5
356,TX,7,2020,5
357,TX,9,2017,5
358,TX,10,2020,5
359,TX,12,2015,5
360,UT,8,2020,5
361,UT,10,2018,5
362,UT,11,2018,5
363,WA,3,2022,5
364,WA,5,2020,5
365,WA,6,2017,5
366,WA,7,2017,5
367,WA,8,2022,5
368,WA,9,2018,5
369,WA,9,2020,5
370,WA,11,2019,5
371,AL,1,2016,4
372,AL,1,2021,4
373,AL,2,2015,4
374,AL,5,2021,4
375,AL,10,2017,4
376,AL,11,2018,4
377,AR,10,2016,4
378,AR,12,2019,4
379,AZ,2,2016,4
380,AZ,2,2020,4
381,AZ,2,2021,4
382,AZ,4,2015,4
383,AZ,4,2017,4
384,AZ,6,2016,4
385,AZ,6,2018,4
386,AZ,6,2022,4
387,AZ,8,2015,4
388,AZ,11,2017,4
389,AZ,12,2015,4
390,CA,9,2018,4
