"row","Species","Body_Mass_(g)","Ladder_score","Regional_indicator"
"131","Sub-Saharan Africa",4,4.308,"Sub-Saharan Africa"
"132","Western Europe",7,7.363,"Western Europe"
"133","Western Europe",8,7.571,"Western Europe"
"134","East Asia",7,6.584,"East Asia"
"135","Commonwealth of Independent States",5,5.466,"Commonwealth of Independent States"
"136","Sub-Saharan Africa",4,3.623,"Sub-Saharan Africa"
"137","Southeast Asia",6,5.985,"Southeast Asia"
"138","Sub-Saharan Africa",4,4.107,"Sub-Saharan Africa"
"139","Middle East and North Africa",5,4.596,"Middle East and North Africa"
"140","Middle East and North Africa",5,4.948,"Middle East and North Africa"
"141","Commonwealth of Independent States",5,5.066,"Commonwealth of Independent States"
"142","Sub-Saharan Africa",5,4.636,"Sub-Saharan Africa"
"143","Commonwealth of Independent States",5,4.875,"Commonwealth of Independent States"
"144","Middle East and North Africa",7,6.561,"Middle East and North Africa"
"145","Western Europe",7,7.064,"Western Europe"
"146","North America and ANZ",7,6.951,"North America and ANZ"
"147","Latin America and Caribbean",6,6.431,"Latin America and Caribbean"
"148","Commonwealth of Independent States",6,6.179,"Commonwealth of Independent States"
"149","Latin America and Caribbean",5,4.892,"Latin America and Caribbean"
"150","Southeast Asia",5,5.411,"Southeast Asia"
"151","Middle East and North Africa",4,3.658,"Middle East and North Africa"
"152","Sub-Saharan Africa",4,4.073,"Sub-Saharan Africa"
"153","Sub-Saharan Africa",3,3.145,"Sub-Saharan Africa"
